,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TSHR,-0.13663855,-0.07150096,0.2179094,0.062994696,-0.316104,-0.36109298,0.12509432,0.25309518,0.28113788,-0.17165855,-0.07076007,-0.25379348,0.246142,0.23928411,-0.24234718,0.40861288,0.208116,0.031964105,0.22195143,0.32007486,-0.07811272,-0.049209826,0.30778247,0.34481466,0.17759743,-0.296835,0.29970008,-0.22536495,-0.16061762,0.15588704,-0.25305748,-0.37190583,0.20990849,0.25774017,-0.38864857,-0.056953385,-0.20622502,0.34647942,-0.08350821,0.40362942,-0.36693758,0.25472087,0.32274404,0.20536578,0.19917102,0.29094094,-0.31504858,0.28923178,0.065605566,-0.20609851,-0.26903495,-0.31558198,0.13044927,-0.051284604,-0.27011418,0.09261641,-0.17261311,0.16093923,-0.17704569,0.3181762,-0.008960802,0.05449036,0.24516153,-0.29092932
HGF,-0.1306479,-0.07050675,0.2084415,0.06069302,-0.30327213,-0.34433797,0.12342125,0.24620682,0.2688479,-0.16202947,-0.06271754,-0.23959494,0.23761573,0.23121026,-0.23485199,0.3924705,0.20195518,0.046441834,0.216381,0.30782518,-0.069338694,-0.06753221,0.29741392,0.32988447,0.17323883,-0.28122878,0.28422502,-0.21782587,-0.15372328,0.15030833,-0.24724385,-0.35745043,0.19730899,0.2502725,-0.37271863,-0.053061206,-0.1984475,0.33315688,-0.081504196,0.38798034,-0.34934032,0.24376974,0.30465627,0.1951707,0.19643603,0.27871537,-0.30117887,0.2762818,0.061932284,-0.19609168,-0.25628468,-0.30632654,0.12337605,-0.05438611,-0.26003626,0.08762926,-0.16630055,0.15789713,-0.17188734,0.3040269,-0.028095135,0.055104196,0.23739378,-0.27931905
PIK3C2G,-0.13761419,-0.075509615,0.22063059,0.064802825,-0.3150723,-0.36161518,0.12893124,0.2522562,0.2827555,-0.17299429,-0.06829031,-0.2561701,0.2469783,0.2413814,-0.24393767,0.40923104,0.2092766,0.06843124,0.2211653,0.32095551,-0.07940948,-0.08070767,0.3089367,0.34618425,0.17659189,-0.298257,0.29914227,-0.22761896,-0.1609513,0.15573408,-0.2540778,-0.37229753,0.21137887,0.26091978,-0.38903624,-0.05667727,-0.2076275,0.3514024,-0.085077465,0.40324122,-0.36704266,0.25609228,0.32682478,0.20766929,0.19900262,0.29346475,-0.3157254,0.29168126,0.06641444,-0.20745647,-0.27040857,-0.3159144,0.13342376,-0.05207582,-0.2727038,0.0910774,-0.17494947,0.1614006,-0.17737019,0.31825945,-0.030065002,0.054022856,0.24537152,-0.29368192
BARD1,-0.13561422,-0.07176911,0.21830106,0.06305986,-0.31617975,-0.36126104,0.12321603,0.2510229,0.28025252,-0.17148653,-0.06752526,-0.25414827,0.24472067,0.23750323,-0.24108438,0.40966183,0.2066911,0.05188599,0.2192287,0.31957626,-0.07916424,-0.071037486,0.3074432,0.3446353,0.17606826,-0.29638976,0.29920167,-0.22443606,-0.15925485,0.15556777,-0.2523391,-0.37100816,0.20991182,0.25700098,-0.38774884,-0.055566445,-0.20653167,0.34676662,-0.081539504,0.4031463,-0.36610004,0.2551918,0.32270482,0.20563675,0.19799648,0.29028094,-0.31448433,0.2887596,0.065209046,-0.20704988,-0.26883808,-0.31535816,0.13063225,-0.048755974,-0.27088377,0.091986805,-0.17255248,0.15926221,-0.17478722,0.31709343,-0.02137032,0.05300182,0.2438643,-0.2904967
MAP3K13,-0.13340504,-0.06864546,0.21734422,0.060663525,-0.31736776,-0.35726842,0.11799909,0.254909,0.2791213,-0.1720067,-0.06919376,-0.2535313,0.241126,0.23361889,-0.23790339,0.40876454,0.20210618,0.011738725,0.2193072,0.31909892,-0.08685964,-0.045703232,0.30593196,0.34415329,0.17213632,-0.29707956,0.29598033,-0.22081901,-0.16181037,0.15101036,-0.24956138,-0.36921448,0.20291418,0.2555198,-0.38733575,-0.060845852,-0.20201594,0.3427409,-0.07883483,0.40143937,-0.3666612,0.25783315,0.32418686,0.20467278,0.19685085,0.28653073,-0.3133005,0.28384143,0.066537656,-0.20536557,-0.26954404,-0.31742844,0.13122863,-0.041314695,-0.27329725,0.09126468,-0.17203067,0.15746056,-0.16942999,0.3154248,0.013458163,0.052081615,0.24453294,-0.28750974
RET,-0.13889107,-0.0754705,0.2266618,0.06545701,-0.32028288,-0.3682359,0.12973465,0.25394672,0.2862479,-0.1761092,-0.069905415,-0.2607243,0.24956462,0.24334818,-0.2465448,0.41478574,0.20940377,0.058062546,0.22346094,0.32476205,-0.08263381,-0.07332645,0.31518245,0.35316527,0.17832983,-0.30515155,0.30405363,-0.22989951,-0.16251227,0.1579077,-0.25924626,-0.3787279,0.21479006,0.26246947,-0.3920347,-0.059804507,-0.21102676,0.3579475,-0.08524562,0.40692112,-0.3735548,0.26156792,0.33394927,0.21089335,0.19960126,0.29703087,-0.31905478,0.29481927,0.06619269,-0.21219614,-0.27528203,-0.32078508,0.13948508,-0.0497114,-0.27869496,0.09162281,-0.17843042,0.1629847,-0.17576464,0.31903023,-0.01912351,0.052469473,0.25018924,-0.2963773
COP1,-0.137531,-0.060148075,0.22606462,0.056127824,-0.32827765,-0.37597266,0.12363257,0.2620581,0.29136658,-0.17854631,-0.09026329,-0.2650781,0.25309008,0.2454405,-0.24728897,0.42069155,0.21188444,-0.12082294,0.23448598,0.3307735,-0.0794273,0.097862706,0.32184094,0.35773697,0.18407439,-0.31089693,0.31620568,-0.23539393,-0.16895244,0.15955257,-0.26510906,-0.3842423,0.21564978,0.26102298,-0.4014164,-0.06459786,-0.21103388,0.35870883,-0.08352853,0.4215806,-0.384283,0.2677433,0.34034172,0.2160418,0.20462775,0.29863593,-0.32887802,0.2985775,0.06413753,-0.21461244,-0.28018588,-0.3287199,0.13883731,-0.04808518,-0.28156036,0.09211162,-0.17664133,0.16091819,-0.17599863,0.3292302,0.08421851,0.050727,0.2590829,-0.2994727
FAT1,-0.15385072,-0.07993684,0.23763137,0.06449731,-0.32788265,-0.39616722,0.12835278,0.27762714,0.3124292,-0.18554255,-0.093078524,-0.28663844,0.25893515,0.2628065,-0.2571352,0.43329564,0.22608106,-0.05511875,0.24208571,0.33539656,-0.089919604,0.0626494,0.33776152,0.35873717,0.1908616,-0.321071,0.31624174,-0.25357494,-0.17692608,0.16922039,-0.27266276,-0.38253814,0.21313429,0.27981496,-0.41310415,-0.06770015,-0.21733354,0.3833272,-0.09634553,0.42897713,-0.38915473,0.27714458,0.36704618,0.2168718,0.21186087,0.3192596,-0.33060694,0.3092965,0.075004786,-0.22004771,-0.28831753,-0.33598965,0.14550187,-0.05361095,-0.2881309,0.08897861,-0.19327007,0.16451953,-0.19603944,0.33238354,0.042737767,0.06187951,0.2666656,-0.32310146
JAK3,-0.14439246,-0.07379098,0.22244346,0.061153,-0.3168227,-0.37496638,0.12664394,0.258723,0.29064485,-0.17493281,-0.07986794,-0.2625871,0.25386024,0.24649537,-0.24882531,0.42271787,0.21247664,-0.013330182,0.23099208,0.32542402,-0.08072373,0.011099875,0.31666407,0.35242683,0.18395801,-0.30588308,0.30909568,-0.2354495,-0.16699901,0.16003668,-0.2609765,-0.3742907,0.21153057,0.26458436,-0.39713532,-0.060024314,-0.21255004,0.36018986,-0.0930438,0.4136535,-0.37861145,0.26065397,0.33981073,0.2096468,0.20322704,0.30108207,-0.31679603,0.2986459,0.07104194,-0.21083075,-0.27589053,-0.3246344,0.13984875,-0.056872915,-0.27732205,0.09227481,-0.18013775,0.16075376,-0.17961022,0.32039157,0.022413395,0.05657722,0.25854436,-0.30061492
KEAP1,-0.13792881,-0.07333447,0.21840557,0.064761214,-0.3156112,-0.36291876,0.12718457,0.25277966,0.2815911,-0.17043832,-0.07115951,-0.2549777,0.24555705,0.24082778,-0.24390383,0.40954977,0.20836139,0.050544836,0.22487982,0.316827,-0.08105561,-0.066908285,0.3084534,0.34253898,0.17557606,-0.300645,0.2976885,-0.22611967,-0.16102713,0.15298957,-0.25358695,-0.36752242,0.20875306,0.2590269,-0.38820902,-0.05793826,-0.20541345,0.35206103,-0.08574104,0.40058792,-0.36932248,0.25507808,0.32785547,0.20679013,0.19632742,0.2910395,-0.31057787,0.28871447,0.06774412,-0.20561913,-0.26817775,-0.31694636,0.13503775,-0.051276643,-0.27194095,0.089006856,-0.17283946,0.15818946,-0.1759843,0.31494772,-0.01659283,0.05391315,0.24800089,-0.29405358
