,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
PIK3CA,-0.15272771,-0.05231981,0.23863705,0.043446116,-0.33488256,-0.400917,0.13794824,0.29370648,0.3170541,-0.18105376,-0.13599986,-0.27386132,0.27162862,0.26327026,-0.2675393,0.4350906,0.2332443,-0.42662328,0.27764302,0.3431245,-0.057708345,0.45992106,0.35049146,0.36914912,0.2208516,-0.32726383,0.33451748,-0.26026216,-0.18532312,0.17092144,-0.29645854,-0.39480376,0.21182504,0.27320078,-0.418339,-0.08249132,-0.22048941,0.3794157,-0.10812971,0.4462105,-0.40831274,0.2867472,0.36581343,0.21903867,0.22941956,0.31300604,-0.33855176,0.31677568,0.064990275,-0.22655442,-0.29410082,-0.35708582,0.1587665,-0.083326645,-0.29365355,0.09203866,-0.19164765,0.171566,-0.19377522,0.34308708,0.2516771,0.064477205,0.29826683,-0.31506094
RNF43,-0.14521481,-0.07719566,0.23683071,0.06827062,-0.33596802,-0.38782722,0.13043982,0.26211253,0.30047107,-0.18468423,-0.07627919,-0.27610585,0.25845188,0.25330088,-0.25444257,0.43185866,0.21760072,0.06609189,0.23282556,0.33395,-0.08757363,-0.07409024,0.32865995,0.36575612,0.18329029,-0.32361567,0.31634876,-0.23956594,-0.16731112,0.16142948,-0.26712656,-0.3915327,0.22469921,0.27141136,-0.41009825,-0.062254265,-0.21791264,0.37492257,-0.08821551,0.42302424,-0.39113194,0.27295685,0.354662,0.22151259,0.20175947,0.30734423,-0.3324859,0.30627906,0.06945584,-0.22313422,-0.28760207,-0.33313137,0.1466635,-0.04673945,-0.28992707,0.0925114,-0.18421303,0.1661003,-0.18228479,0.33210385,-0.018462658,0.05233453,0.25949183,-0.31362203
GATA3,-0.15686095,-0.047992807,0.24143896,0.03911505,-0.34188676,-0.4020918,0.1625787,0.30245793,0.32005006,-0.18099019,-0.14647064,-0.26296258,0.28028533,0.26834217,-0.2746172,0.43090138,0.24381778,-0.47906697,0.30529922,0.3488502,-0.030438844,0.51693565,0.3600447,0.37298894,0.24489892,-0.31901544,0.33627552,-0.27378806,-0.1857028,0.17355938,-0.3117171,-0.39504814,0.21643803,0.2683185,-0.4127407,-0.08494645,-0.22431716,0.38264513,-0.118721195,0.45478803,-0.41176027,0.2893898,0.35939664,0.2233789,0.2513268,0.3117874,-0.33799607,0.32676616,0.059620507,-0.22664595,-0.29825592,-0.36454394,0.16988565,-0.114484526,-0.29564762,0.09904694,-0.19880906,0.18106285,-0.20002078,0.3529839,0.23658246,0.07013344,0.32075256,-0.31629086
ALK,-0.13941224,-0.075026885,0.22731242,0.06524406,-0.3226613,-0.37015408,0.12839201,0.25504002,0.28827178,-0.1776442,-0.07040183,-0.2639515,0.25067246,0.24422216,-0.24692434,0.41825306,0.21003008,0.06108143,0.2237578,0.32694262,-0.08448522,-0.075388074,0.31536123,0.35464644,0.17731012,-0.3076982,0.3061688,-0.23025735,-0.16447459,0.15775767,-0.25767928,-0.38005924,0.2160201,0.26394343,-0.3959058,-0.059557185,-0.21098334,0.35886362,-0.08464068,0.41033107,-0.3766482,0.26303276,0.3374812,0.21277201,0.19934353,0.29858595,-0.32222566,0.2968911,0.06701388,-0.21323569,-0.27704525,-0.32191238,0.13838728,-0.047832534,-0.280157,0.09217544,-0.1783804,0.16225623,-0.17606457,0.32316762,-0.019002778,0.052219607,0.25053865,-0.29872045
ESR1,-0.1310192,-0.06727769,0.2122406,0.06031122,-0.30759925,-0.3500724,0.12091324,0.24677172,0.2720848,-0.164531,-0.06923638,-0.24433857,0.23821647,0.23175907,-0.23520824,0.39677408,0.20212549,0.000813853,0.21722841,0.3108915,-0.07510707,-0.034454085,0.3018963,0.3348203,0.1732155,-0.2866007,0.28989416,-0.22015649,-0.1552302,0.14935818,-0.24910668,-0.36109918,0.2018294,0.25025487,-0.37683946,-0.057182044,-0.20027529,0.33659923,-0.078949325,0.39321864,-0.35547635,0.24767902,0.31095463,0.19871883,0.19543722,0.28115112,-0.30444413,0.27923462,0.0625318,-0.19908434,-0.25977835,-0.30984914,0.12777431,-0.04876525,-0.26394612,0.08697457,-0.16705458,0.15619476,-0.16987632,0.3071396,0.006579916,0.051226202,0.24018875,-0.28190696
TP53,-0.16221434,-0.026137948,0.2511934,0.01992012,-0.35456735,-0.42969626,0.15051189,0.3263731,0.338983,-0.18813586,-0.1958727,-0.28165525,0.28638774,0.28021717,-0.28084737,0.44751328,0.25286037,-0.9084736,0.331734,0.3604318,-0.035203114,0.97169226,0.38621587,0.39585704,0.2656399,-0.33464962,0.3660286,-0.29715008,-0.20022994,0.17981425,-0.33826697,-0.41216502,0.21213537,0.2743761,-0.43616974,-0.10350494,-0.23039739,0.40271354,-0.13209407,0.48540324,-0.44175386,0.30785456,0.39152217,0.22896504,0.2634612,0.33130312,-0.3524878,0.34114254,0.07289148,-0.23301715,-0.31583333,-0.3859526,0.1824354,-0.11394164,-0.30799538,0.08935922,-0.20646355,0.18052183,-0.20455894,0.3652899,0.51821536,0.07631921,0.34571612,-0.33099708
POLE,-0.16829987,-0.114229664,0.25451815,0.08619793,-0.3194961,-0.4331744,0.122135565,0.2933841,0.33638322,-0.21401355,-0.05665257,-0.34105432,0.27978754,0.27165705,-0.27111155,0.47687238,0.20976558,0.19377272,0.22883996,0.34563187,-0.14515957,-0.16403127,0.3518979,0.38068408,0.1909885,-0.35041797,0.3210462,-0.2551355,-0.19461358,0.17496635,-0.25140885,-0.4130368,0.23098545,0.306262,-0.44667894,-0.066996664,-0.23634344,0.41739148,-0.09939612,0.44157812,-0.3995267,0.28970593,0.3986677,0.24104692,0.219326,0.35923272,-0.34728652,0.31961328,0.08570455,-0.23308852,-0.30896556,-0.34120345,0.15611595,-0.030527465,-0.29693282,0.10451089,-0.19989133,0.16796364,-0.20471457,0.339609,-0.06638496,0.07016674,0.26257992,-0.34023273
NOTCH4,-0.13881607,-0.063800775,0.22602628,0.056790806,-0.3209819,-0.37037367,0.13231163,0.2633251,0.2891957,-0.17355144,-0.089303926,-0.25705272,0.25301066,0.24663833,-0.2506538,0.4129586,0.21517275,-0.11084646,0.23720561,0.32647577,-0.06921974,0.10373527,0.3217431,0.35390568,0.18963352,-0.30614394,0.30966824,-0.237028,-0.16775724,0.16139798,-0.26992986,-0.3807851,0.21169701,0.26332685,-0.39550784,-0.06528115,-0.21168648,0.3579065,-0.09059913,0.4143232,-0.3783158,0.2646133,0.33427405,0.2106294,0.20785375,0.2970273,-0.32359922,0.2972195,0.062292673,-0.21367705,-0.27668962,-0.32758147,0.14170422,-0.061445676,-0.2797895,0.09160039,-0.17792921,0.16657588,-0.18068106,0.32336822,0.06965573,0.055313274,0.26129925,-0.29624048
INPP4B,-0.13684121,-0.072443716,0.21995103,0.06360837,-0.31644857,-0.36286306,0.12575534,0.25264263,0.28211617,-0.17332914,-0.07272913,-0.25560796,0.24614775,0.23921199,-0.24267703,0.4087625,0.20724584,0.032444846,0.22165468,0.32092202,-0.08083917,-0.04983111,0.30884397,0.34536302,0.17655814,-0.29754573,0.30064303,-0.22718614,-0.1613557,0.15530516,-0.25392842,-0.37171376,0.21159333,0.2580635,-0.38993055,-0.057571907,-0.20731747,0.3492058,-0.08404899,0.40475914,-0.3681282,0.25648805,0.32540822,0.20769276,0.19927552,0.29278487,-0.3152648,0.29109076,0.0664938,-0.20717621,-0.27030408,-0.31641066,0.13299836,-0.050898097,-0.272806,0.091906115,-0.17440818,0.1597871,-0.17587483,0.319171,-0.0075689517,0.0533866,0.24527204,-0.2916111
FLT4,-0.15108348,-0.08303569,0.23383124,0.06804766,-0.32467747,-0.39071792,0.12359229,0.27100754,0.30688262,-0.18370816,-0.08289153,-0.2830174,0.2530368,0.25781417,-0.25249147,0.42989674,0.22111431,0.020527905,0.23296437,0.33119762,-0.09546506,-0.025961628,0.33001232,0.3529969,0.18233952,-0.3156196,0.3094005,-0.24735945,-0.17270994,0.16395001,-0.26375377,-0.37719697,0.21207792,0.27675393,-0.40831017,-0.063497126,-0.2141556,0.37777978,-0.09027235,0.42272058,-0.3822506,0.2716661,0.3604086,0.21379253,0.20633438,0.3155521,-0.32493588,0.30425823,0.07573858,-0.21535319,-0.2840254,-0.33048132,0.13979515,-0.046617225,-0.28349525,0.087549925,-0.19005054,0.16058844,-0.19222338,0.32825917,0.00060069375,0.05926708,0.25785902,-0.3193996
ERBB4,-0.14131048,-0.066332616,0.23105788,0.05815854,-0.32744974,-0.37794912,0.13447076,0.2647587,0.2942561,-0.17791933,-0.08901156,-0.26326323,0.25732493,0.25060028,-0.25417355,0.41979587,0.21758947,-0.08386206,0.238873,0.33217758,-0.07094851,0.083928466,0.327088,0.36024332,0.19187076,-0.31353116,0.31569308,-0.24010783,-0.16991308,0.1643404,-0.2715743,-0.38664696,0.21624526,0.2665879,-0.40233028,-0.065709986,-0.21505997,0.36376834,-0.09156604,0.4195958,-0.38444573,0.26921105,0.3422048,0.21549842,0.20911795,0.30221152,-0.32887664,0.30241084,0.062521115,-0.21887696,-0.28177017,-0.33195916,0.14412448,-0.060972232,-0.28508782,0.094445,-0.18098457,0.1684475,-0.18194501,0.32868412,0.054432813,0.055626564,0.26379493,-0.30218294
SOX17,-0.13900314,-0.07079883,0.22405872,0.06304983,-0.3219943,-0.36983615,0.12602192,0.25603044,0.28731507,-0.1768674,-0.077692136,-0.26170814,0.25065723,0.24343604,-0.24635485,0.41633898,0.21058926,-0.011555629,0.2259813,0.32583183,-0.082924396,-0.009964278,0.3161056,0.35313618,0.17924324,-0.30482608,0.30756366,-0.23151113,-0.16426516,0.15857494,-0.25804818,-0.37868536,0.21418284,0.26127306,-0.3959589,-0.0618103,-0.2098495,0.35380155,-0.08489453,0.41162074,-0.37478846,0.26086906,0.33327985,0.21157694,0.20073265,0.29654527,-0.32173628,0.2944678,0.066888064,-0.2122543,-0.27562132,-0.32250714,0.13732791,-0.04825572,-0.2770053,0.09283451,-0.17579032,0.16187847,-0.17780602,0.32333052,0.024086174,0.052787513,0.25052112,-0.29665244
ARID1B,-0.15363787,-0.080210514,0.23810644,0.06603253,-0.32890764,-0.39637393,0.12727894,0.27738872,0.3118173,-0.18580236,-0.09148438,-0.2860541,0.25828165,0.26256025,-0.2575924,0.4337249,0.22601345,-0.048695717,0.24131218,0.33522737,-0.09170039,0.051455062,0.33805898,0.3598488,0.18975236,-0.32132807,0.31582704,-0.25334337,-0.17657399,0.16756171,-0.2712871,-0.38330787,0.2138686,0.27987552,-0.41375375,-0.068323806,-0.21779245,0.38321853,-0.09489332,0.4287625,-0.39042786,0.2762542,0.36672747,0.21701707,0.21137872,0.3195201,-0.33057624,0.30886826,0.07524869,-0.21977258,-0.2887743,-0.33734304,0.14444925,-0.051701307,-0.2881511,0.08911462,-0.19305348,0.16456963,-0.19567013,0.33258587,0.04064979,0.06175836,0.26599446,-0.323118
MAP3K1,-0.14146997,-0.07387395,0.23111257,0.065947354,-0.329821,-0.37781215,0.13012178,0.25639027,0.29124692,-0.18001056,-0.075711966,-0.2672425,0.2535438,0.24782506,-0.25037774,0.42287493,0.21332821,0.06021381,0.2300296,0.32882023,-0.0848885,-0.0736468,0.3211334,0.3571376,0.17989488,-0.31562436,0.31015486,-0.23440734,-0.16482829,0.15741244,-0.26243466,-0.38219345,0.21892017,0.26634634,-0.40243185,-0.061223507,-0.21217808,0.36666274,-0.08725982,0.4149109,-0.3828752,0.2674929,0.34388477,0.21878888,0.19931176,0.30018538,-0.3243447,0.30109125,0.06833494,-0.21845138,-0.2808226,-0.32732853,0.14380394,-0.04749897,-0.28447378,0.09210126,-0.17846203,0.16110347,-0.1780581,0.32608396,-0.016960718,0.04996837,0.25484368,-0.30644768
ARID2,-0.13906947,-0.074619986,0.22321332,0.06506123,-0.31828666,-0.36634293,0.12685348,0.253132,0.28479683,-0.17510173,-0.06987591,-0.25904417,0.24841705,0.2413936,-0.24417335,0.41371006,0.20881331,0.051828243,0.22146915,0.3236395,-0.08297135,-0.06971966,0.31196773,0.35062945,0.17663762,-0.30104038,0.3028836,-0.2291878,-0.16110253,0.15669177,-0.2564133,-0.3761097,0.214272,0.2618945,-0.3918559,-0.057805523,-0.20966661,0.35479933,-0.08430841,0.40690053,-0.37068737,0.25856876,0.330099,0.2098944,0.19976856,0.29530585,-0.31829083,0.29381022,0.06696003,-0.21016616,-0.273018,-0.31832469,0.13611507,-0.048589826,-0.27577403,0.09127502,-0.17624599,0.16097182,-0.17586172,0.31967682,-0.015839253,0.052659504,0.24736163,-0.29557243
ATR,-0.1421353,-0.076340154,0.22343983,0.06606299,-0.32093745,-0.3727499,0.12643349,0.25573358,0.2877974,-0.1753335,-0.07174524,-0.26276103,0.25125912,0.24559975,-0.24804938,0.42027754,0.21120523,0.06908032,0.22761501,0.32313576,-0.08340193,-0.076984495,0.31404668,0.34917384,0.17925885,-0.30749968,0.30372697,-0.22997004,-0.1639635,0.15644757,-0.2553603,-0.3730231,0.2121841,0.26285708,-0.39661226,-0.05780506,-0.21018234,0.35968935,-0.08851714,0.40929785,-0.3774348,0.2600878,0.33717793,0.211032,0.1989928,0.29825264,-0.31546852,0.2949189,0.07068921,-0.2104146,-0.27403003,-0.32195592,0.13699514,-0.051647134,-0.27591628,0.09167516,-0.1770394,0.15866324,-0.17913644,0.32062197,-0.02544453,0.05416131,0.25269687,-0.30123574
AGO2,-0.13669646,-0.0741903,0.21833834,0.06368896,-0.31414697,-0.3603297,0.12636207,0.2513501,0.28034943,-0.17191407,-0.06669294,-0.25468522,0.2465443,0.23915178,-0.24171956,0.40781918,0.2068347,0.06593563,0.21937731,0.31994724,-0.07836564,-0.07936108,0.30723178,0.3436633,0.17547768,-0.2954679,0.29783407,-0.2252201,-0.15890244,0.15585952,-0.25210342,-0.3711781,0.20903333,0.2586277,-0.38761297,-0.054485228,-0.20660095,0.34867007,-0.08426851,0.4019722,-0.36501396,0.25422174,0.3227576,0.20595646,0.19890375,0.29121694,-0.31398356,0.28882554,0.06562565,-0.20637938,-0.2683023,-0.31369802,0.1311982,-0.051151685,-0.2703785,0.09141584,-0.17329189,0.15971965,-0.17638028,0.31658974,-0.030525226,0.054620825,0.2434908,-0.29106885
TCF7L2,-0.15580192,-0.076565556,0.24250484,0.06249272,-0.33350587,-0.40417916,0.13096261,0.2833909,0.31814432,-0.18850863,-0.10140529,-0.29056117,0.2639494,0.26665246,-0.26231354,0.43913203,0.22966588,-0.11281179,0.24964555,0.34080195,-0.08823581,0.12615645,0.34569323,0.36627927,0.19723265,-0.32866102,0.32398656,-0.25876793,-0.18102977,0.17200658,-0.27916002,-0.38986608,0.21667773,0.28273305,-0.4199225,-0.07172746,-0.22111094,0.3892475,-0.09920009,0.4368708,-0.3979508,0.2828666,0.3748927,0.22124477,0.2162677,0.32403004,-0.33706856,0.3148591,0.07408695,-0.22512624,-0.29450226,-0.34332436,0.1506264,-0.056688875,-0.29366618,0.09099215,-0.19609095,0.16753414,-0.19865403,0.33833948,0.07685092,0.062808774,0.27460447,-0.32690805
NRAS,-0.11566956,-0.043369845,0.19665356,0.049500145,-0.29603857,-0.33958,0.09146936,0.23491013,0.25811082,-0.15658471,-0.077515766,-0.23989591,0.21860568,0.20673585,-0.21273385,0.38782477,0.18147478,-0.19028932,0.20116724,0.30259764,-0.10019365,0.07613806,0.2910904,0.3258811,0.14602274,-0.27193183,0.28669465,-0.2113437,-0.15092489,0.1291171,-0.23158279,-0.34520563,0.19277488,0.23700976,-0.36566132,-0.060462624,-0.18230821,0.32025254,-0.05698953,0.3876716,-0.34666055,0.23759809,0.3037136,0.19541678,0.17914487,0.2644295,-0.2943011,0.26608497,0.06280946,-0.1879107,-0.25081885,-0.29690883,0.12347802,-0.007635396,-0.2568785,0.071894675,-0.15001631,0.1318434,-0.14460312,0.2966169,0.14022706,0.03513387,0.22727694,-0.26444152
ERBB2,-0.13765281,-0.06818267,0.22147799,0.060452946,-0.3195027,-0.36737707,0.12594146,0.25611416,0.28538316,-0.17479122,-0.07901637,-0.2587875,0.24915278,0.24164715,-0.24389908,0.41332823,0.20937583,-0.024861192,0.2261477,0.3247109,-0.079654865,0.0075291432,0.31350958,0.3501138,0.18055762,-0.3020384,0.30657762,-0.23033544,-0.16359092,0.15781605,-0.258322,-0.37597507,0.21247928,0.25922766,-0.39367476,-0.06029536,-0.20870659,0.35246038,-0.08532365,0.41011387,-0.37317997,0.26002836,0.33021167,0.21028322,0.20204328,0.2945822,-0.31983793,0.2940601,0.06646457,-0.2105549,-0.27334136,-0.32051718,0.13641004,-0.0508268,-0.27562743,0.09280906,-0.17542131,0.16062164,-0.17643876,0.32215145,0.027384773,0.053685494,0.25067568,-0.2943966
ASXL1,-0.16882354,-0.115522034,0.25014716,0.085458174,-0.31178197,-0.42915854,0.11903717,0.29426837,0.3349218,-0.21243897,-0.05382444,-0.34100538,0.27786714,0.26964128,-0.26893884,0.47534823,0.20648433,0.19285339,0.22632143,0.3417443,-0.14796549,-0.1632835,0.3497643,0.37379906,0.18923278,-0.34596467,0.31546706,-0.2534323,-0.19423005,0.17359176,-0.24677876,-0.40785205,0.22552286,0.30656627,-0.44412166,-0.06621897,-0.23460802,0.41434184,-0.09860024,0.43803123,-0.39242935,0.28739148,0.39494827,0.23845947,0.2194235,0.35832918,-0.34328562,0.31608176,0.084423654,-0.22954777,-0.3066271,-0.33755633,0.15341794,-0.028349109,-0.2924479,0.103857815,-0.19635808,0.1646429,-0.20575562,0.3362396,-0.06499297,0.07070612,0.2593251,-0.33800966
EPHA5,-0.16818947,-0.11414926,0.25475368,0.08617298,-0.31981587,-0.43392956,0.121409975,0.2933799,0.33707792,-0.21454582,-0.05700874,-0.34218302,0.27986014,0.27134192,-0.2713951,0.4775647,0.20954743,0.19038263,0.22872975,0.34553573,-0.14651176,-0.16165444,0.35278392,0.38086998,0.1911239,-0.3511272,0.32157633,-0.2551572,-0.19488214,0.17490643,-0.25045416,-0.41283023,0.23130195,0.30582774,-0.44715124,-0.06758065,-0.23656182,0.41701603,-0.09847388,0.4418788,-0.39958012,0.29021248,0.39950657,0.2414898,0.21891855,0.35944396,-0.3476431,0.31952667,0.08549534,-0.23351681,-0.30904156,-0.34110302,0.15651904,-0.0294783,-0.29663786,0.10477771,-0.19939268,0.16739917,-0.20482253,0.3399862,-0.06345028,0.06961395,0.2620753,-0.34026265
PDGFRA,-0.13345945,-0.070706084,0.21361472,0.06266249,-0.3109156,-0.35371524,0.120701924,0.24924994,0.27618822,-0.16822326,-0.067585506,-0.24996156,0.24124634,0.2340885,-0.2372958,0.40230164,0.20405042,0.03694896,0.21689548,0.31465316,-0.078892745,-0.061805233,0.3019768,0.3376108,0.17410134,-0.2892281,0.29282242,-0.22060063,-0.15768726,0.15112332,-0.24689874,-0.36387557,0.20494233,0.25312737,-0.38260975,-0.054999743,-0.20257993,0.339239,-0.08018346,0.397946,-0.35987473,0.25017545,0.3154596,0.20250124,0.19679429,0.28480715,-0.3090491,0.28301263,0.06556928,-0.20155698,-0.26319838,-0.31072485,0.12620664,-0.04842769,-0.26498932,0.090194725,-0.16908334,0.15657048,-0.174267,0.31358185,-0.012145814,0.053020157,0.2397197,-0.28604573
BRCA1,-0.13686348,-0.07274857,0.21925382,0.06344913,-0.31427056,-0.36096752,0.12663516,0.25262073,0.28157642,-0.1717981,-0.07066555,-0.25420073,0.24594006,0.2393477,-0.24268235,0.40842396,0.2077273,0.041011963,0.22136328,0.3197604,-0.07912721,-0.05677317,0.30804726,0.34500343,0.17684057,-0.29680747,0.2992645,-0.2268672,-0.16078071,0.15533319,-0.2548808,-0.37183252,0.21066865,0.2593338,-0.38748974,-0.0566466,-0.20686683,0.3498717,-0.08443509,0.4032511,-0.36695033,0.2558035,0.32506013,0.20679602,0.1991292,0.29177853,-0.31473842,0.2907884,0.065700926,-0.20664574,-0.26980364,-0.31562117,0.13290673,-0.05155207,-0.27182567,0.09119806,-0.17438921,0.1603737,-0.17673536,0.31740415,-0.014242621,0.053632576,0.2459313,-0.29164448
CREBBP,-0.14721039,-0.077698946,0.2264393,0.06375184,-0.31436616,-0.3810166,0.12334184,0.26938182,0.29860216,-0.17734954,-0.08492055,-0.27114445,0.25367302,0.247325,-0.25134766,0.4237154,0.21315777,-0.046011988,0.23757471,0.3237582,-0.08573496,0.04951038,0.32232156,0.34679317,0.18913046,-0.3072082,0.30318898,-0.23708181,-0.17035544,0.156257,-0.25911927,-0.37466064,0.20780885,0.26684222,-0.39996287,-0.06512743,-0.21047516,0.36470503,-0.091659404,0.4164183,-0.3773056,0.26485425,0.34381944,0.20844609,0.20794478,0.30545864,-0.3152664,0.29717216,0.07153787,-0.20893806,-0.27745792,-0.32903388,0.13848728,-0.057635672,-0.27378517,0.088108525,-0.18162096,0.15859655,-0.18498066,0.3223006,0.0400448,0.059677377,0.26082695,-0.30313033
MDC1,-0.13791898,-0.071787,0.22193894,0.06275759,-0.31955102,-0.36642754,0.1260322,0.25449094,0.2849398,-0.17497253,-0.07332969,-0.25906447,0.24912408,0.24189946,-0.24427298,0.4134273,0.20931011,0.024191245,0.22413814,0.32426146,-0.079942375,-0.038901713,0.3120394,0.34941328,0.17963478,-0.3015455,0.3040694,-0.228546,-0.16250996,0.15772411,-0.2562287,-0.37572414,0.2128689,0.2599248,-0.39267135,-0.057952523,-0.2093753,0.3526252,-0.084775425,0.40872544,-0.3718071,0.2597984,0.32971102,0.21014775,0.20129874,0.29433292,-0.3194403,0.29327142,0.06673953,-0.21000236,-0.27289456,-0.31910622,0.13471317,-0.05046777,-0.2745655,0.09322283,-0.17583112,0.16089389,-0.17724344,0.32157266,-0.0023923218,0.053581692,0.24874166,-0.29511306
KMT2A,-0.1461265,-0.06743373,0.2255368,0.055856608,-0.31903017,-0.37813866,0.12738441,0.27097544,0.29730678,-0.17292693,-0.099802665,-0.26060903,0.25422522,0.24817276,-0.25271988,0.41906846,0.21873994,-0.15287055,0.24806619,0.32582676,-0.069401994,0.16160029,0.32429695,0.34721202,0.19685264,-0.3060444,0.30785137,-0.23973238,-0.17007518,0.15725712,-0.2692045,-0.37430617,0.2058267,0.2630487,-0.39760637,-0.068226635,-0.21013254,0.3610854,-0.094540805,0.41957206,-0.38160115,0.26661184,0.3407719,0.20643353,0.21136472,0.2995988,-0.31595245,0.29913825,0.06745772,-0.21018001,-0.2771781,-0.33425415,0.14051603,-0.06875344,-0.2754026,0.08726953,-0.1818533,0.16042778,-0.18432425,0.32486832,0.09416732,0.058774143,0.2696479,-0.30129877
PLCG2,-0.13788849,-0.071027495,0.22422807,0.064291604,-0.32420355,-0.3689972,0.12686887,0.2542197,0.28494343,-0.17490983,-0.07397592,-0.26018217,0.24821387,0.24320549,-0.24573924,0.41519043,0.21035117,0.047105163,0.22859132,0.32208663,-0.0814795,-0.06577538,0.31525198,0.34882373,0.17762801,-0.30743277,0.30231488,-0.22926107,-0.1615684,0.1524171,-0.25700152,-0.37390268,0.21183863,0.2613927,-0.3960178,-0.05979772,-0.20716873,0.3567155,-0.085072175,0.4082613,-0.37507313,0.2611203,0.33384556,0.21272297,0.19730273,0.29308242,-0.31721395,0.2939686,0.06720013,-0.2117924,-0.2742794,-0.32268736,0.1379804,-0.047349762,-0.27759904,0.09025447,-0.17336737,0.15875699,-0.17643237,0.32125086,-0.012334161,0.050469615,0.25045958,-0.2999335
KMT2C,-0.15438478,-0.06490129,0.23667759,0.052172795,-0.3318304,-0.38689986,0.16675346,0.2869232,0.30958885,-0.17657787,-0.11252093,-0.2533389,0.27479866,0.26176715,-0.27029553,0.4216352,0.23804536,-0.19047117,0.28607845,0.34064648,-0.031159768,0.22401279,0.34390652,0.36140615,0.23141707,-0.3084358,0.31814906,-0.26072857,-0.1762946,0.16779159,-0.29494855,-0.38512963,0.21913284,0.26622644,-0.39851928,-0.07153033,-0.22176355,0.37510225,-0.11131398,0.4357924,-0.39556003,0.27758446,0.34367654,0.2181771,0.24192844,0.3035817,-0.32746798,0.31931388,0.056305524,-0.22096492,-0.28878832,-0.34968305,0.16028711,-0.11269872,-0.28682792,0.100752085,-0.19530046,0.18071657,-0.19774657,0.3432759,0.055081047,0.06837836,0.30317163,-0.3096319
TERT,-0.14417265,-0.07018865,0.22235137,0.05827502,-0.319907,-0.37717587,0.12512016,0.26133665,0.29202628,-0.17550169,-0.08427583,-0.26347896,0.2551434,0.24732295,-0.24940199,0.42459065,0.21380308,-0.048341755,0.23440433,0.32710093,-0.07748262,0.0491798,0.31841722,0.35270756,0.187427,-0.30807137,0.31184226,-0.23644644,-0.1686656,0.16187689,-0.2624081,-0.37548006,0.21090579,0.2636693,-0.40019974,-0.06094133,-0.21304059,0.3591775,-0.09362179,0.41757593,-0.38132858,0.26295292,0.34075332,0.2104393,0.20524691,0.30177236,-0.31963587,0.29960218,0.07008576,-0.211815,-0.27681068,-0.32670528,0.13869786,-0.058821768,-0.27789298,0.094271645,-0.1797947,0.16073957,-0.18098997,0.3242071,0.04004883,0.057109006,0.26151285,-0.3014176
TET1,-0.14621517,-0.07098746,0.22887576,0.059831504,-0.32560754,-0.38378972,0.13284718,0.26690593,0.2981479,-0.17807423,-0.088080585,-0.26708037,0.26011276,0.25350735,-0.25640166,0.42771903,0.21863148,-0.061661728,0.24089292,0.3318157,-0.07567713,0.071354985,0.3257615,0.36076725,0.19253583,-0.3162501,0.3172949,-0.24094388,-0.17252591,0.16553769,-0.26957357,-0.3841938,0.21621796,0.2691309,-0.40472972,-0.063550726,-0.21730578,0.3685071,-0.09661523,0.42132044,-0.38935515,0.26858538,0.34888256,0.21525115,0.20929131,0.3067272,-0.32623476,0.3039506,0.0688588,-0.21728262,-0.28194833,-0.33280963,0.14484993,-0.062964536,-0.28446436,0.09500042,-0.18412575,0.1667576,-0.18464133,0.32831493,0.046192273,0.05918494,0.26781607,-0.30615973
CBL,-0.13388747,-0.07158707,0.20593773,0.061775528,-0.30213797,-0.35406363,0.118123434,0.2525949,0.27450162,-0.16482002,-0.0660625,-0.24930736,0.24037465,0.23358025,-0.23743689,0.40393662,0.19900396,0.03875128,0.21832925,0.31119952,-0.0842917,-0.060299028,0.29877487,0.33000895,0.1681107,-0.28861263,0.2885487,-0.21842569,-0.15863359,0.1514598,-0.24027641,-0.35636896,0.19718114,0.25276762,-0.3793103,-0.05271543,-0.19858325,0.34224,-0.08188503,0.39214134,-0.3591466,0.24564874,0.3174694,0.19770694,0.1939435,0.2864362,-0.29980463,0.27782673,0.06884931,-0.19535638,-0.2592922,-0.3072027,0.12552041,-0.048284963,-0.2599078,0.086364575,-0.16621803,0.15031202,-0.17269023,0.30778682,-0.013119857,0.056658857,0.241483,-0.28331327
