,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
PDE4DIP_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
PDZK1P1_cnv,0.0011593113,-0.0011333269,-0.005939044,0.0038342122,0.0022459244,-0.0034803813,-0.0073316977,0.010326622
PDZK1_cnv,0.0011593113,-0.0011333269,-0.005939044,0.0038342122,0.0022459244,-0.0034803813,-0.0073316977,0.010326622
PEX11B_cnv,0.0011593113,-0.0011333269,-0.005939044,0.0038342122,0.0022459244,-0.0034803813,-0.0073316977,0.010326622
PIAS3_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
POLR3C_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
POLR3GL_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
PPIAL4A_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
PPIAL4C_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
PPIAL4D_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
PPIAL4G_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
PRKAB2_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
RBM8A_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
RN7SKP88_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
RN7SL261P_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
RNA5SP57_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
RNA5SP59_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
RNF115_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
SEC22B_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
SRGAP2B_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
SV2A_cnv,0.0011409894,-0.0010711341,-0.0059888996,0.0037902528,0.0023381226,-0.003547463,-0.007549818,0.010455015
TXNIP_cnv,0.001173202,-0.0011804667,-0.0059012845,0.003867535,0.0021761311,-0.0034295293,-0.0071664327,0.010229314
SF3B4_cnv,0.0007413272,0.00029367185,-0.007025173,0.00282156,0.004167281,-0.005009977,-0.012215342,0.013230963
MTMR11_cnv,0.0007413272,0.00029367185,-0.007025173,0.00282156,0.004167281,-0.005009977,-0.012215342,0.013230963
OTUD7B_cnv,0.000732922,0.00032356428,-0.0070467144,0.002800243,0.004203653,-0.0050417148,-0.012315027,0.0132908
VPS45_cnv,0.00072889216,0.00033792667,-0.007057054,0.0027900035,0.004221075,-0.0050569572,-0.012362884,0.01331953
PLEKHO1_cnv,0.0007413272,0.00029367185,-0.007025171,0.0028215605,0.00416728,-0.0050099776,-0.012215342,0.013230963
